route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
石江・新城線(39321),土日祝,土日祝_16時06分_系統39321,T50西部〈営〉（石江・新城線）,,,0,1,39321
浪館通り線(35141),土日祝,土日祝_16時07分_系統35141,P40慈恵会病院（浪館通り線）,,,0,1,35141
国道・古川線(38052),土日祝,土日祝_16時08分_系統38052,A1青森駅（国道・古川線）,,,1,1,38052
沖館・新田線(47031),土日祝,土日祝_16時08分_系統47031,W54後潟（沖館・新田線）,,,0,1,47031
国道・古川線(39052),土日祝,土日祝_16時08分_系統39052,A1青森駅（国道・古川線）,,,1,1,39052
造道・八重田線(45012),土日祝,土日祝_16時10分_系統45012,C10県病→東部〈営〉（造道・八重田線）,,,1,1,45012
明の星通り線(12141),土日祝,土日祝_16時12分_系統12141,G21戸山団地（明の星通り線）,,,0,1,12141
沖舘・新田線(28042),土日祝,土日祝_16時15分_系統28042,W53中央大橋→野木和団地（沖館・新田線）,,,1,1,28042
造道・八重田線(1052),土日祝,土日祝_16時17分_系統1052,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1052
国道・古川線(21022),土日祝,土日祝_16時17分_系統21022,A1青森駅（国道・古川線）,,,1,1,21022
国道・古川線(44332),土日祝,土日祝_16時18分_系統44332,A1青森駅（国道・古川線）,,,1,1,44332
横内環状線(14022),土日祝,土日祝_16時20分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
国道・古川線(37032),土日祝,土日祝_16時20分_系統37032,A1青森駅（国道・古川線）,,,1,1,37032
滝内・三内線(44181),土日祝,土日祝_16時20分_系統44181,R52つくしが丘病院（滝内・三内線）,,,0,1,44181
国道・古川線(22022),土日祝,土日祝_16時21分_系統22022,A1観光通り→青森駅（国道・古川線）,,,1,1,22022
国道・古川線(17032),土日祝,土日祝_16時21分_系統17032,A1観光通り→青森駅（国道・古川線）,,,1,1,17032
旭町通り線(37031),土日祝,土日祝_16時22分_系統37031,M42南高校（旭町通り線）,,,0,1,37031
国道・古川線(39052),土日祝,土日祝_16時24分_系統39052,A1青森駅（国道・古川線）,,,1,1,39052
石江・新城線(39191),土日祝,土日祝_16時25分_系統39191,T50西部〈営〉（石江・新城線）,,,0,1,39191
国道・古川線(6142),土日祝,土日祝_16時27分_系統6142,A1小柳団地→青森駅（国道・古川線）,,,1,1,6142
東バイパス線(56022),土日祝,土日祝_16時28分_系統56022,E10東部〈営〉（東バイパス線）,,,0,1,56022
小柳線(6171),土日祝,土日祝_16時30分_系統6171,F12県立中央病院（小柳線(桜川経由)）,,,0,1,6171
浪館通り線(35141),土日祝,土日祝_16時30分_系統35141,P40慈恵会病院（浪館通り線）,,,0,1,35141
国道・古川線(39052),土日祝,土日祝_16時33分_系統39052,A1青森駅（国道・古川線）,,,1,1,39052
